date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:45	31033/31033	U--M--	200	updated ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:48:44%20GMT	https://andremorais.adv.br/	./andre-site/andremorais.adv.br/index.html	(from )
12:48:46	90/90	U--M--	200	updated ('OK')	text/plain	date:Tue,%2007%20Jul%202026%2015:48:43%20GMT	https://andremorais.adv.br/robots.txt		(from )
12:48:47	20917/20917	U--M--	200	updated ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:48:46%20GMT	https://andremorais.adv.br/consultoria	./andre-site/andremorais.adv.br/consultoria.html	(from https://andremorais.adv.br/)
12:48:47	20893/20893	U--M--	200	updated ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:48:46%20GMT	https://andremorais.adv.br/litigios	./andre-site/andremorais.adv.br/litigios.html	(from https://andremorais.adv.br/)
12:48:47	18747/18747	U--M--	200	updated ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:48:46%20GMT	https://andremorais.adv.br/conhecimento	./andre-site/andremorais.adv.br/conhecimento.html	(from https://andremorais.adv.br/)
12:48:47	103326/103326	U--M--	200	updated ('OK')	text/css	date:Tue,%2007%20Jul%202026%2015:48:45%20GMT	https://andremorais.adv.br/assets/criadordesites.css?de19f219-dacc-432e-892a-7e90317ef826	./andre-site/andremorais.adv.br/assets/criadordesitese9e5.css	(from https://andremorais.adv.br/)
12:48:47	20840/20840	U--M--	200	updated ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:48:46%20GMT	https://andremorais.adv.br/contato	./andre-site/andremorais.adv.br/contato.html	(from https://andremorais.adv.br/)
12:48:48	261333/261333	U--M--	200	updated ('OK')	application/javascript	date:Tue,%2007%20Jul%202026%2015:48:46%20GMT	https://andremorais.adv.br/assets/criadordesites.js?de19f219-dacc-432e-892a-7e90317ef826	./andre-site/andremorais.adv.br/assets/criadordesitese9e5.js	(from https://andremorais.adv.br/)
12:48:48	13607/13607	U--M--	200	updated ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:48:47%20GMT	https://andremorais.adv.br/cliente	./andre-site/andremorais.adv.br/cliente.html	(from https://andremorais.adv.br/)
12:48:48	854/854	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jul%202026%2015:48:47%20GMT	https://andremorais.adv.br/assets/owl.video.play.png	./andre-site/andremorais.adv.br/assets/owl.video.play.7.delayed	(from https://andremorais.adv.br/assets/criadordesites.css?de19f219-dacc-432e-892a-7e90317ef826)
